__metadata,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,INVENTORY_OPENING_BALANCE,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1760')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1760')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1760,1760,JJ,02,11,02/11,7,31,02N,JJ-F12,1kg Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1761')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1761')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1761,1761,JJ,02,11,02/11,7,31,02N,JJ-F13,1kg Strawberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1762')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1762')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1762,1762,JJ,02,11,02/11,7,31,02N,JJ-F14,1kg Raisin Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1763')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1763')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1763,1763,JJ,02,11,02/11,7,31,02N,JJ-F15,1kg Original Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1764')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1764')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1764,1764,JJ,02,11,02/11,7,31,02N,JJ-F16,1kg Mixed Fruit Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1765')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1765')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1765,1765,JJ,02,11,02/11,7,31,02S,JJ-F01,500g Nut Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1766')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1766')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1766,1766,JJ,02,11,02/11,7,31,02S,JJ-F02,500g Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1767')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1767')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1767,1767,JJ,02,11,02/11,7,31,02S,JJ-F03,500g Strawberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1768')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1768')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1768,1768,JJ,02,11,02/11,7,31,02S,JJ-F04,500g Raisin Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1769')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1769')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1769,1769,JJ,02,11,02/11,7,31,02S,JJ-F05,500g Original Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1770')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1770')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1770,1770,JJ,02,11,02/11,7,31,02S,JJ-F06,500g Mixed Fruit Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1771')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1771')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1771,1771,JJ,02,11,02/11,7,31,02S,JJ-F11,1kg Nut Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1772')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1772')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1772,1772,JJ,02,11,02/11,7,31,02S,JJ-F12,1kg Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1773')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1773')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1773,1773,JJ,02,11,02/11,7,31,02S,JJ-F13,1kg Strawberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1774')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1774')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1774,1774,JJ,02,11,02/11,7,31,02S,JJ-F14,1kg Raisin Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1775')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1775')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1775,1775,JJ,02,11,02/11,7,31,02S,JJ-F15,1kg Original Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1776')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1776')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1776,1776,JJ,02,11,02/11,7,31,02S,JJ-F16,1kg Mixed Fruit Muesli,0,ST
